,Type,Status,URLs,Hint,Description,Learn More
10,Advisory,Pass,0,<h1> tag is missing,"HTML URLs that do not contain a header 1. The header 1 (h1) tag is considered important to help both users and search engines to quickly understand what content they can expect to find on the page. If the <h1> is not present, this represents a missed optimization opportunity. ",https://sitebulb.com/hints/on-page/seo-hints/h1-tag-is-missing/
11,Advisory,Pass,0,<h1> tag is empty,"HTML URLs that have an empty header 1. The header 1 (h1) tag is considered important to help both users and search engines to quickly understand what content they can expect to find on the page. If the <h1> is empty, this represents a missed optimization opportunity. ",https://sitebulb.com/hints/on-page/seo-hints/h1-tag-is-empty/
12,Issue,Pass,0,Base URL malformed or empty,"URLs that specify a base URL which is malformed or empty. The base tag is used to determine the URL base for all relative links used within a page. If the base tag is malformed or empty, this may cause problems for search engines crawling relative links. ",https://sitebulb.com/hints/on-page/html-hints/base-url-malformed-or-empty/
13,Advisory,Pass,0,Meta description is missing,"URLs that do not contain a meta description. The meta description is considered important to help users quickly understand what content they can expect to find on the page, when clicking through from the search engine results page. Well written meta descriptions typically achieve a better click-through-rate. If the meta description is missing, this represents a missed optimization opportunity. ",https://sitebulb.com/hints/on-page/seo-hints/meta-description-is-missing/
14,Issue,Pass,0,Multiple base URLs,"URLs that specify more than one base URL. The base tag is used to determine the URL base for all relative links used within a page. A document can have no more than one base element, so multiple base tags is invalid, and this may cause problems for search engines crawling relative links. ",https://sitebulb.com/hints/on-page/html-hints/multiple-base-urls/
15,Issue,Pass,0,Multiple meta descriptions,"URLs that contain multiple meta descriptions. If there are multiple meta descriptions on the page, it may lead to search engines displaying the 'wrong' one, which in turn may lead to lower engagement or CTR from search results. ",https://sitebulb.com/hints/on-page/seo-hints/multiple-meta-descriptions/
16,Issue,Pass,0,Multiple title tags,"URLs that contain more than one <title> element. If there are multiple title tags on the page, it may lead to search engines displaying the 'wrong' one, which in turn may lead to lower engagement or CTR from search results, and may also have an SEO impact. ",https://sitebulb.com/hints/on-page/seo-hints/multiple-title-tags/
17,Issue,Pass,0,"Multiple, mismatched base URLs","URLs that specify more than one base URL, and the URLs are different. The base tag is used to determine the URL base for all relative links used within a page. A document can have no more than one base element, so multiple base tags is invalid, and this may cause problems for search engines crawling relative links - particularly as the base URLs are different, there is no guarantee they will select the 'right' one. ",https://sitebulb.com/hints/on-page/html-hints/multiple-mismatched-base-urls/
18,Advisory,Pass,0,<h1> length too long,"URLs that contain a header 1 with too many words. If the <h1> uses too many words, in may not be well optimized to effectively communicate the desired message. It is considered best practice to try and include the main target keywords for the page in the <h1>, whilst also communicating 'what the page is about.' ",https://sitebulb.com/hints/on-page/seo-hints/h1-length-too-long/
19,Advisory,Pass,0,<h1> length too short,"URLs that contain a header 1 with too few words. If the <h1> does not use many words, in may not be well optimized to effectively communicate the desired message. It is considered best practice to try and include the main target keywords for the page in the <h1>, whilst also communicating 'what the page is about.' ",https://sitebulb.com/hints/on-page/seo-hints/h1-length-too-short/
20,Advisory,Pass,0,Title and meta description are the same,"URLs that have identical text for the title and meta description. The title and meta description serve very different purposes, and if they are identical then this is usually the result of a misconfigured plugin or script. ",https://sitebulb.com/hints/on-page/seo-hints/title-and-meta-description-are-the-same/
21,Issue,Pass,0,Title tag is missing,"HTML URLs that do not contain the <title> element. The title tag is considered one of the most important on-page SEO factors, so if it is missing this represents an issue that may affect search engine rankings and click-through-rate from the search results. ",https://sitebulb.com/hints/on-page/seo-hints/title-tag-is-missing/
22,Issue,Pass,0,Title tag is empty,"HTML URLs that contain an empty <title> element. The title tag is considered one of the most important on-page SEO factors, so if it is not present this represents an issue that may affect search engine rankings and click-through-rate from the search results. ",https://sitebulb.com/hints/on-page/seo-hints/title-tag-is-empty/
23,Advisory,Pass,0,Title tag length too short,"URLs that contain a title tag with too few characters. If the title uses too few characters, it may not be sufficient to effectively communicate the desired message. ",https://sitebulb.com/hints/on-page/seo-hints/title-tag-length-too-short/
24,Advisory,Pass,0,URL contains more than one Google Analytics code,"URLs that contain multiple Google Analytics codes. Whilst valid, and sometimes deliberate, this might imply a configuration error - such as a plugin inserting an additional code. ",https://sitebulb.com/hints/on-page/html-hints/url-contains-more-than-one-google-analytics-code/
25,Advisory,Pass,0,URL contains more than one Google Tag Manager code,"URLs that contain multiple Google Tag Manager codes. Whilst it is valid, Google advise to keep the number of Google Tag Manager containers on the page minimal, for best performance. ",https://sitebulb.com/hints/on-page/html-hints/url-contains-more-than-one-google-tag-manager-code/
26,Advisory,Pass,0,URL contains no Google Analytics code,"URLs that do not contain a Google Analytics code. This may simply be because the website does not use Google Analytics, but may also represent instances where the Google Analytics code is accidentally missing. Note that this Hint is independent of any Google Tag Manager implementation, and simply means that no Google Analytics code was found on the page. ",https://sitebulb.com/hints/on-page/html-hints/url-contains-no-google-analytics-code/
27,Advisory,Pass,0,URL contains no Google Tag Manager code,"URLs that do not contain a Google Tag Manager code. This may simply be because the website does not use Google Tag Manager, but may also represent instances where the Google Tag Manager code is accidentally missing. ",https://sitebulb.com/hints/on-page/html-hints/url-contains-no-google-tag-manager-code/
28,Advisory,Pass,0,Has images with missing alt text,"URLs that contain images with no alt attribute or missing alt text. Alt text is important for accessibility, to communicate meaning and context about the image to visually impaired users. Search engines also use alt text to understand the meaning and context, so images with no alt text represent poor accessibility, and a missed SEO opportunity. ",https://sitebulb.com/hints/on-page/seo-hints/has-images-with-missing-alt-text/
